Date  Time  u[m/s] v[m/s] WS[m/s] WD[deg]
11-27 00:00 +1.11  +2.16  2.433   207.2
11-27 01:00 +1.60  +1.28  2.050   231.3
11-27 02:00 +2.35  +2.17  3.200   227.2
11-27 03:00 +0.86  +1.17  1.450   216.2
11-27 04:00 +2.02  +0.74  2.150   250.0
11-27 05:00 +1.62  +1.78  2.400   222.3
11-27 06:00 +1.05  +1.48  1.817   215.3
11-27 07:00 +2.50  +0.43  2.533   260.3
11-27 08:00 +3.15  +0.73  3.233   257.0
11-27 09:00 +1.47  +1.05  1.800   234.5
11-27 10:00 +1.61  +1.37  2.117   229.5
11-27 11:00 +3.22  +1.79  3.683   241.0
11-27 12:00 +2.00  +0.38  2.033   259.3
11-27 13:00 +1.70  +0.24  1.717   261.8
11-27 14:00 +1.98  -0.08  1.983   272.2
11-27 15:00 +2.67  -0.06  2.667   271.2
11-27 16:00 +2.25  +0.74  2.367   251.7
11-27 17:00 +2.34  +0.17  2.350   265.8
11-27 18:00 -1.49  -0.29  1.517    79.0
11-27 19:00 +0.40  +1.24  1.300   197.7
11-27 20:00 +1.02  +1.89  2.150   208.2
11-27 21:00 +2.18  +0.96  2.383   246.2
11-27 22:00 +1.89  +1.36  2.333   234.2
11-27 23:00 +2.30  +0.61  2.383   255.2
11-28 00:00 +1.83  +1.94  2.667   223.3
11-28 01:00 +1.60  +0.53  1.683   251.8
11-28 02:00 -1.07  +1.67  1.983   147.3
11-28 03:00 +0.59  +1.75  1.850   198.7
11-28 04:00 +6.36  +2.15  6.717   251.3
11-28 05:00 +1.30  +0.29  1.333   257.5
11-28 06:00 -0.72  -1.00  1.233    35.7
11-28 07:00 +3.42  -2.58  4.283   307.0
11-28 08:00 +2.92  -3.06  4.233   316.3
11-28 09:00 +1.44  -0.18  1.450   277.2
11-28 10:00 +0.98  -0.33  1.033   288.7
11-28 11:00 +0.60  -0.75  0.967   321.3
11-28 12:00 +0.99  -0.48  1.100   295.7
11-28 13:00 -0.45  -0.13  0.467    73.8
11-28 14:00 +0.50  -0.04  0.500   275.0
11-28 15:00 +0.38  +0.20  0.433   242.7
11-28 16:00 +0.38  -0.48  0.617   321.8
11-28 17:00 +0.31  +0.31  0.433   225.2
11-28 18:00 -0.47  -0.25  0.533    61.8
11-28 19:00 +1.30  +0.28  1.333   257.7
11-28 20:00 +0.99  +1.12  1.500   221.5
11-28 21:00 +0.82  +0.00  0.817   269.8
11-28 22:00 +1.19  +0.15  1.200   263.0
11-28 23:00 -0.34  -0.20  0.400    59.3
11-29 00:00 +1.13  -0.04  1.133   272.0
11-29 01:00 +0.50  +0.85  0.983   210.5
11-29 02:00 +1.07  +0.47  1.167   246.2
11-29 03:00 -0.38  -0.44  0.583    40.8
11-29 04:00 +1.38  +0.04  1.383   268.5
11-29 05:00 -0.69  +0.40  0.800   119.7
11-29 06:00 -0.43  +2.51  2.550   170.3
11-29 07:00 +0.45  -0.70  0.833   327.2
11-29 08:00 +1.25  +0.02  1.250   269.0
11-29 09:00 +0.74  +0.72  1.033   225.8
11-29 10:00 +1.58  +0.24  1.600   261.3
11-29 11:00 -0.81  -0.43  0.917    61.8
11-29 12:00 -0.68  -0.57  0.883    50.2
11-29 13:00 -2.72  -0.42  2.750    81.3
11-29 14:00 -2.04  +0.15  2.050    94.2
11-29 15:00 -1.65  +1.81  2.450   137.8
11-29 16:00 -0.89  +0.39  0.967   113.7
11-29 17:00 -3.80  -1.14  3.967    73.3
11-29 18:00 -1.36  -0.99  1.683    54.0
11-29 19:00 -0.33  +1.19  1.233   164.3
11-29 20:00 +0.32  +0.14  0.350   246.5
11-29 21:00 +0.35  +1.06  1.117   198.3
11-29 22:00 +0.17  +0.10  0.200   240.5
11-29 23:00 +1.34  +0.51  1.433   249.3
