P2 (hPa)	T2 (K)	Q2 (kg/kg)
1000	302.007	0.01687298
975	300.607	0.015913098
950	299.207	0.015006793
925	297.707	0.014063998
900	296.107	0.013136359
850	292.407	0.011940289
800	289.007	0.011011369
750	286.007	0.01032417
700	283.207	0.009292463
650	279.94	0.007970604
600	276.534	0.006608353
550	272.668	0.005167785
500	268.5	0.003648437
450	263.813	0.0020475
400	258.4	0.001118661
350	251.541	0.000736921
300	243.4	0.000227905
250	234.807	5.60001E-05
200	222.2	0.000146905
150	206.31	3.16536E-05
100	195.8	7.11029E-06
70	202.362	-999.9     
50	208.8	2.93126E-06
30	214.1	5.75902E-06
20	219.6	2.09197E-05
10	231.2	1.8546E-05
7	233.1	2.23884E-05
5	235.878	2.59443E-05
3	242.8	3.06341E-05
2	250	3.92131E-05
1	-999.9	-999.9      
