Date  Time   WS[m/s] WD[deg]
11-27 00:00  2.433   207.2
11-27 01:00  2.05    231.3
11-27 02:00  3.2     227.2
11-27 03:00  1.45    216.2
11-27 04:00  2.15    250  
11-27 05:00  2.4     222.3
11-27 06:00  1.817   215.3
11-27 07:00  2.533   260.3
11-27 08:00  3.233   257  
11-27 09:00  1.8     234.5
11-27 10:00  2.117   229.5
11-27 11:00  3.683   241  
11-27 12:00  2.033   259.3
11-27 13:00  1.717   261.8
11-27 14:00  1.983   272.2
11-27 15:00  2.667   271.2
11-27 16:00  2.367   251.7
11-27 17:00  2.35    265.8
11-27 18:00  1.517   79   
11-27 19:00  1.3     197.7
11-27 20:00  2.15    208.2
11-27 21:00  2.383   246.2
11-27 22:00  2.333   234.2
11-27 23:00  2.383   255.2
11-28 00:00  2.667   223.3
11-28 01:00  1.683   251.8
11-28 02:00  1.983   147.3
11-28 03:00  1.85    198.7
11-28 04:00  6.717   251.3
11-28 05:00  1.333   257.5
11-28 06:00  1.233   35.67
11-28 07:00  4.283   307  
11-28 08:00  4.233   316.3
11-28 09:00  1.45    277.2
11-28 10:00  1.033   288.7
11-28 11:00  0.967   321.3
11-28 12:00  1.1     295.7
11-28 13:00  0.467   73.83
11-28 14:00  0.5     275  
11-28 15:00  0.433   242.7
11-28 16:00  0.617   321.8
11-28 17:00  0.433   225.2
11-28 18:00  0.533   61.83
11-28 19:00  1.333   257.7
11-28 20:00  1.5     221.5
11-28 21:00  0.817   269.8
11-28 22:00  1.2     263  
11-28 23:00  0.4     59.33
11-29 00:00  1.133   272  
11-29 01:00  0.983   210.5
11-29 02:00  1.167   246.2
11-29 03:00  0.583   40.83
11-29 04:00  1.383   268.5
11-29 05:00  0.8     119.7
11-29 06:00  2.55    170.3
11-29 07:00  0.833   327.2
11-29 08:00  1.25    269  
11-29 09:00  1.033   225.8
11-29 10:00  1.6     261.3
11-29 11:00  0.917   61.83
11-29 12:00  0.883   50.17
11-29 13:00  2.75    81.3 
11-29 14:00  2.05    94.2 
11-29 15:00  2.45    137.8
11-29 16:00  0.967   113.7
11-29 17:00  3.967   73.33
11-29 18:00  1.683   54   
11-29 19:00  1.233   164.3
11-29 20:00  0.35    246.5
11-29 21:00  1.117   198.3
11-29 22:00  0.2     240.5
11-29 23:00  1.433   249.3
