Date  Time   WS[m/s] u[m/s] v[m/s] Type
11-28 04:00  6.717    6.362  2.154 SW
11-28 07:00  4.283    3.421 -2.578 NW
11-28 08:00  4.233    2.925 -3.060 NW
11-29 17:00  3.967   -3.800 -1.138 NE
11-27 11:00  3.683    3.221  1.786 SW
11-27 08:00  3.233    3.150  0.727 SW
11-27 02:00  3.200    2.348  2.174 SW
11-29 13:00  2.750   -2.718 -0.416 NE
11-28 00:00  2.667    1.829  1.941 SW
11-27 15:00  2.667    2.666 -0.056 NW
11-29 06:00  2.550   -0.430  2.514 SE
11-27 07:00  2.533    2.497  0.427 SW
11-29 15:00  2.450   -1.646  1.815 SE
11-27 00:00  2.433    1.112  2.164 SW
11-27 05:00  2.400    1.615  1.775 SW
11-27 23:00  2.383    2.304  0.609 SW
11-27 21:00  2.383    2.180  0.962 SW
11-27 16:00  2.367    2.247  0.743 SW
11-27 17:00  2.350    2.344  0.172 SW
11-27 22:00  2.333    1.892  1.365 SW
11-27 20:00  2.150    1.016  1.895 SW
11-27 04:00  2.150    2.020  0.735 SW
11-27 10:00  2.117    1.610  1.375 SW
11-29 14:00  2.050   -2.044  0.150 SE
11-27 01:00  2.050    1.600  1.282 SW
11-27 12:00  2.033    1.998  0.377 SW
11-28 02:00  1.983   -1.071  1.669 SE
11-27 14:00  1.983    1.982 -0.076 NW
11-28 03:00  1.850    0.593  1.752 SW
11-27 06:00  1.817    1.050  1.483 SW
11-27 09:00  1.800    1.465  1.045 SW
11-27 13:00  1.717    1.699  0.245 SW
11-29 18:00  1.683   -1.362 -0.989 NE
11-28 01:00  1.683    1.599  0.526 SW
11-29 10:00  1.600    1.582  0.242 SW
11-27 18:00  1.517   -1.489 -0.289 NE
11-28 20:00  1.500    0.994  1.123 SW
11-28 09:00  1.450    1.439 -0.182 NW
11-27 03:00  1.450    0.856  1.170 SW
11-29 23:00  1.433    1.340  0.507 SW
11-29 04:00  1.383    1.383  0.036 SW
11-28 19:00  1.333    1.302  0.284 SW
11-28 05:00  1.333    1.301  0.289 SW
11-27 19:00  1.300    0.395  1.238 SW
11-29 08:00  1.250    1.250  0.022 SW
11-29 19:00  1.233   -0.334  1.187 SE
11-28 06:00  1.233   -0.719 -1.002 NE
11-28 22:00  1.200    1.191  0.146 SW
11-29 02:00  1.167    1.068  0.471 SW
11-29 00:00  1.133    1.132 -0.040 NW
11-29 21:00  1.117    0.351  1.061 SW
11-28 12:00  1.100    0.991 -0.477 NW
11-29 09:00  1.033    0.741  0.720 SW
11-28 10:00  1.033    0.978 -0.331 NW
11-29 01:00  0.983    0.499  0.847 SW
11-29 16:00  0.967   -0.885  0.389 SE
11-28 11:00  0.967    0.605 -0.755 NW
11-29 11:00  0.917   -0.808 -0.433 NE
11-29 12:00  0.883   -0.678 -0.566 NE
11-29 07:00  0.833    0.451 -0.700 NW
11-28 21:00  0.817    0.817  0.003 SW
11-29 05:00  0.800   -0.695  0.396 SE
11-28 16:00  0.617    0.382 -0.485 NW
11-29 03:00  0.583   -0.381 -0.441 NE
11-28 18:00  0.533   -0.470 -0.252 NE
11-28 14:00  0.500    0.498 -0.044 NW
11-28 13:00  0.467   -0.449 -0.130 NE
11-28 17:00  0.433    0.307  0.305 SW
11-28 15:00  0.433    0.385  0.199 SW
11-28 23:00  0.400   -0.344 -0.204 NE
11-29 20:00  0.350    0.321  0.140 SW
11-29 22:00  0.200    0.174  0.098 SW
