Start time:      21/07/2018 23:37:29

Time	  Height	       P	       T	       U	      WS	      WD	  Ascent
 0.0,	       4,	  1003.4,	    28.4,	    87.0,	     2.3,	   260.0,	       0
 1.1,	      12,	  1002.2,	    28.8,	    84.9,	     2.3,	   262.9,	     450
 2.1,	      18,	  1001.8,	    28.5,	    85.6,	     2.5,	   263.8,	     316
 3.1,	      22,	  1001.4,	    28.3,	    86.1,	     2.7,	   264.0,	     274
 4.1,	      27,	  1000.9,	    28.0,	    85.9,	     2.9,	   263.9,	     289
 5.1,	      33,	  1000.2,	    27.9,	    85.7,	     3.1,	   263.7,	     338
 6.1,	      39,	   999.4,	    27.9,	    85.9,	     3.3,	   263.5,	     372
 7.1,	      45,	   998.8,	    27.8,	    86.2,	     3.6,	   263.3,	     376
 8.1,	      52,	   998.1,	    27.8,	    86.2,	     3.8,	   263.2,	     380
 9.1,	      58,	   997.3,	    27.7,	    86.0,	     4.0,	   263.0,	     397
10.1,	      65,	   996.6,	    27.6,	    85.8,	     4.2,	   262.9,	     406
11.1,	      72,	   995.8,	    27.5,	    85.9,	     4.3,	   262.8,	     396
12.1,	      78,	   995.1,	    27.5,	    86.0,	     4.5,	   262.7,	     366
13.1,	      83,	   994.5,	    27.4,	    86.0,	     4.7,	   262.6,	     321
14.1,	      88,	   994.0,	    27.4,	    86.0,	     4.8,	   262.6,	     291
15.1,	      93,	   993.5,	    27.3,	    86.2,	     5.0,	   262.5,	     293
16.1,	      98,	   992.9,	    27.2,	    86.5,	     5.1,	   262.5,	     322
17.1,	     104,	   992.2,	    27.2,	    86.7,	     5.2,	   262.4,	     362
18.1,	     111,	   991.3,	    27.1,	    86.5,	     5.3,	   262.4,	     382
19.1,	     117,	   990.8,	    27.0,	    86.4,	     5.4,	   262.3,	     385
20.1,	     124,	   990.2,	    26.9,	    86.5,	     5.5,	   262.3,	     405
21.1,	     131,	   989.1,	    26.9,	    86.7,	     5.6,	   262.3,	     414
22.1,	     137,	   988.4,	    26.8,	    86.9,	     5.6,	   262.4,	     356
23.1,	     141,	   988.0,	    26.8,	    87.0,	     5.7,	   262.4,	     271
24.1,	     145,	   987.7,	    26.8,	    87.0,	     5.7,	   262.5,	     231
25.1,	     149,	   987.2,	    26.7,	    87.2,	     5.7,	   262.6,	     256
26.1,	     155,	   986.6,	    26.6,	    87.6,	     5.8,	   262.6,	     316
27.1,	     161,	   985.9,	    26.6,	    88.1,	     5.8,	   262.7,	     366
28.1,	     167,	   985.1,	    26.5,	    88.4,	     5.8,	   262.7,	     373
29.1,	     173,	   984.6,	    26.5,	    88.6,	     5.8,	   262.7,	     339
30.1,	     178,	   984.0,	    26.4,	    88.5,	     5.8,	   262.7,	     301
31.1,	     182,	   983.5,	    26.4,	    88.4,	     5.8,	   262.7,	     275
32.1,	     187,	   983.1,	    26.4,	    88.7,	     5.8,	   262.6,	     279
33.1,	     192,	   982.5,	    26.3,	    89.4,	     5.8,	   262.5,	     314
34.1,	     198,	   981.7,	    26.2,	    89.9,	     5.8,	   262.3,	     344
35.1,	     204,	   981.1,	    26.1,	    90.1,	     5.8,	   262.1,	     339
