     HGHT(m)     PRES(hPa)       TEMP(K)   QV(kg/kg)
    0.000000   1000.000000    298.130000    0.016700
   49.364000    994.473120    297.790226    0.016500
  151.907000    983.062420    297.425400    0.016300
  259.534000    971.188050    297.084160    0.016000
  372.246000    958.868120    296.465208    0.015700
  490.042000    946.121720    295.867152    0.015400
  612.924000    932.970390    295.290660    0.015100
  740.890000    919.434300    294.735408    0.014800
  873.941000    905.529840    294.199128    0.014500
 1012.076000    891.274920    293.684424    0.014100
 1155.297000    876.689140    292.884894    0.013800
 1303.602000    861.792810    292.102822    0.013400
 1456.992000    846.606480    291.643524    0.013000
 1615.466000    831.151090    290.896970    0.012500
 1779.025000    815.448200    289.860283    0.011900
 1947.669000    799.519140    289.146004    0.011300
 2121.398000    783.385470    288.447213    0.010700
 2300.212000    767.068050    287.454357    0.010100
 2484.110000    750.587190    286.474287    0.009500
 2673.093000    733.961250    285.507450    0.008940
 2867.161000    717.208590    284.552451    0.008400
 3066.313000    700.349530    283.519425    0.007820
 3270.551000    683.401330    282.496695    0.007270
 3479.873000    666.380700    281.167910    0.006740
 3694.280000    649.307770    280.163468    0.006230
 3913.771000    632.201170    278.849166    0.005750
 4138.348000    615.079650    277.542180    0.005290
 4368.008000    597.963160    276.240259    0.004860
 4602.754000    580.875940    274.944632    0.004450
 4842.585000    563.841210    273.653076    0.004070
 5087.500000    546.877580    272.365950    0.003710
 5337.500000    530.003050    270.758100    0.003370
 5592.585000    513.235270    269.151274    0.003050
 5852.754000    496.590940    267.871968    0.002750
 6118.008000    480.084020    266.265898    0.002470
 6388.348000    463.728590    264.659967    0.002220
 6663.771000    447.540200    263.051985    0.001980
 6944.280000    431.531880    261.442974    0.001760
 7229.873000    415.716600    259.497232    0.001560
 7520.551000    400.108670    257.880700    0.001380
 7816.313000    384.718870    255.924300    0.001210
 8117.161000    369.557380    253.666896    0.001030
 8423.093000    354.636990    251.742072    0.000869
 8734.110000    339.965900    249.474435    0.000729
 9050.212000    325.549820    247.200096    0.000607
 9371.398000    311.398380    244.577008    0.000502
 9697.670000    297.521780    242.286779    0.000411
10029.025000    283.926230    239.988454    0.000333
10365.466000    270.618380    237.337296    0.000267
10706.991000    257.607640    235.021591    0.000211
11053.602000    244.901580    232.348383    0.000167
11405.297000    232.505210    229.663477    0.000133
11762.076000    220.424020    226.965684    0.000105
12123.940000    208.664200    224.254494    0.000065
12490.890000    197.231640    221.530026    0.000049
12862.924000    186.131930    218.791121    0.000036
13240.042000    175.370120    217.401952    0.000033
13622.246000    164.951660    216.317530    0.000029
14009.534000    154.881240    214.816759    0.000026
14401.907000    145.165030    213.254784    0.000023
14799.364000    135.811020    211.629790    0.000019
15201.907000    126.822890    209.940516    0.000016
15609.534000    118.214790    208.184571    0.000014
16022.246000    110.001620    206.360140    0.000011
16440.043000    102.181400    204.465929    0.000009
16862.924000     94.785790    202.500090    0.000007
17290.891000     87.852390    200.460276    0.000006
17723.941000     81.372340    198.344672    0.000004
18162.076000     75.321000    196.562682    0.000003
18605.297000     69.676330    194.295817    0.000003
19053.602000     64.442590    192.368209    0.000002
