time,T_s
0,21.567
1,21.565
2,21.564
3,21.562
4,21.561
5,21.559
6,21.558
7,21.556
8,21.554
9,21.553
10,21.551
11,21.550
12,21.549
13,21.547
14,21.545
15,21.544
16,21.542
17,21.541
18,21.539
19,21.538
20,21.536
21,21.535
22,21.534
23,21.533
24,21.531
25,21.530
26,21.528
27,21.527
28,21.525
29,21.523
30,21.523
31,21.520
32,21.517
33,21.514
34,21.512
35,21.509
36,21.507
37,21.504
38,21.501
39,21.498
40,21.495
41,21.492
42,21.490
43,21.488
44,21.485
45,21.483
46,21.480
47,21.478
48,21.475
49,21.472
50,21.470
51,21.467
52,21.465
53,21.462
54,21.460
55,21.457
56,21.455
57,21.452
58,21.450
59,21.447
60,21.444
61,21.442
62,21.440
63,21.437
64,21.435
65,21.432
66,21.429
67,21.427
68,21.425
69,21.422
70,21.420
71,21.417
72,21.415
73,21.413
74,21.411
75,21.408
76,21.406
77,21.404
78,21.402
79,21.399
80,21.397
81,21.394
82,21.391
83,21.390
84,21.388
85,21.385
86,21.383
87,21.381
88,21.379
89,21.377
90,21.374
91,21.371
92,21.368
93,21.366
94,21.364
95,21.361
96,21.359
97,21.356
98,21.354
99,21.351
100,21.349
101,21.347
102,21.344
103,21.341
104,21.339
105,21.336
106,21.334
107,21.332
108,21.330
109,21.327
110,21.325
111,21.323
112,21.320
113,21.318
114,21.316
115,21.314
116,21.312
117,21.309
118,21.307
119,21.305
120,21.303
121,21.301
122,21.299
123,21.297
124,21.294
125,21.292
126,21.290
127,21.287
128,21.285
129,21.283
130,21.281
131,21.278
132,21.276
133,21.274
134,21.272
135,21.269
136,21.267
137,21.265
138,21.263
139,21.260
140,21.258
141,21.256
142,21.253
143,21.251
144,21.248
145,21.246
146,21.244
147,21.242
148,21.239
149,21.237
150,21.235
151,21.233
152,21.230
153,21.228
154,21.225
155,21.223
156,21.220
157,21.218
158,21.215
159,21.213
160,21.212
161,21.209
162,21.207
163,21.204
164,21.202
165,21.199
166,21.197
167,21.194
168,21.192
169,21.190
170,21.187
171,21.185
172,21.183
173,21.180
174,21.178
175,21.175
176,21.173
177,21.170
178,21.168
179,21.165
180,21.163
181,21.160
182,21.158
183,21.155
184,21.153
185,21.150
186,21.148
187,21.146
188,21.143
189,21.141
190,21.138
191,21.136
192,21.134
193,21.131
194,21.128
195,21.126
196,21.123
197,21.120
198,21.118
199,21.115
200,21.113
201,21.111
202,21.108
203,21.105
204,21.103
205,21.101
206,21.098
207,21.096
208,21.093
209,21.091
210,21.088
211,21.086
212,21.083
213,21.081
214,21.079
215,21.076
216,21.074
217,21.072
218,21.070
219,21.067
220,21.064
221,21.062
222,21.060
223,21.057
224,21.055
225,21.053
226,21.050
227,21.048
228,21.045
229,21.043
230,21.041
231,21.039
232,21.037
233,21.035
234,21.033
235,21.030
236,21.028
237,21.026
238,21.024
239,21.022
240,21.019
241,21.017
242,21.015
243,21.013
244,21.011
245,21.009
246,21.007
247,21.006
248,21.003
249,21.002
250,21.000
251,20.998
252,20.996
253,20.994
254,20.992
255,20.990
256,20.988
257,20.986
258,20.984
259,20.983
260,20.982
261,20.980
262,20.978
263,20.977
264,20.975
265,20.973
266,20.971
267,20.969
268,20.968
269,20.966
270,20.964
271,20.963
272,20.961
273,20.960
274,20.958
275,20.956
276,20.954
277,20.952
278,20.950
279,20.949
280,20.948
281,20.947
282,20.945
283,20.944
284,20.942
285,20.941
286,20.939
287,20.938
288,20.936
289,20.935
290,20.933
291,20.931
292,20.930
293,20.929
294,20.928
295,20.927
296,20.926
297,20.925
298,20.924
299,20.923
300,20.922
301,20.920
302,20.919
303,20.917
304,20.917
305,20.915
306,20.914
307,20.914
308,20.913
309,20.912
310,20.912
311,20.911
312,20.911
313,20.910
314,20.910
315,20.909
316,20.909
317,20.909
318,20.909
319,20.908
320,20.908
321,20.908
322,20.908
323,20.908
324,20.908
325,20.909
326,20.909
327,20.910
328,20.911
329,20.913
330,20.914
331,20.915
332,20.916
333,20.918
334,20.919
335,20.921
336,20.923
337,20.925
338,20.927
339,20.930
340,20.932
341,20.934
342,20.937
343,20.940
344,20.943
345,20.946
346,20.950
347,20.953
348,20.957
349,20.960
350,20.964
351,20.968
352,20.972
353,20.976
354,20.980
355,20.985
356,20.990
357,20.995
358,21.000
359,21.005
360,21.011
361,21.017
362,21.023
363,21.030
364,21.036
365,21.043
366,21.050
367,21.057
368,21.065
369,21.072
370,21.079
371,21.086
372,21.094
373,21.103
374,21.111
375,21.120
376,21.128
377,21.137
378,21.147
379,21.156
380,21.166
381,21.176
382,21.186
383,21.196
384,21.207
385,21.218
386,21.230
387,21.241
388,21.252
389,21.264
390,21.277
391,21.290
392,21.303
393,21.316
394,21.330
395,21.344
396,21.359
397,21.374
398,21.389
399,21.404
400,21.420
401,21.437
402,21.453
403,21.471
404,21.489
405,21.506
406,21.525
407,21.543
408,21.562
409,21.582
410,21.602
411,21.622
412,21.642
413,21.663
414,21.684
415,21.705
416,21.726
417,21.748
418,21.770
419,21.793
420,21.816
421,21.839
422,21.862
423,21.885
424,21.909
425,21.933
426,21.957
427,21.981
428,22.006
429,22.031
430,22.056
431,22.081
432,22.107
433,22.133
434,22.158
435,22.185
436,22.211
437,22.237
438,22.264
439,22.291
440,22.317
441,22.344
442,22.372
443,22.399
444,22.427
445,22.455
446,22.482
447,22.510
448,22.539
449,22.567
450,22.595
451,22.623
452,22.652
453,22.680
454,22.708
455,22.737
456,22.765
457,22.793
458,22.821
459,22.850
460,22.879
461,22.908
462,22.937
463,22.965
464,22.994
465,23.023
466,23.051
467,23.081
468,23.110
469,23.138
470,23.167
471,23.196
472,23.225
473,23.254
474,23.283
475,23.312
476,23.341
477,23.371
478,23.401
479,23.431
480,23.461
481,23.491
482,23.522
483,23.553
484,23.584
485,23.615
486,23.647
487,23.679
488,23.711
489,23.743
490,23.776
491,23.809
492,23.842
493,23.876
494,23.911
495,23.946
496,23.981
497,24.017
498,24.054
499,24.090
500,24.127
501,24.165
502,24.203
503,24.241
504,24.280
505,24.320
506,24.359
507,24.399
508,24.439
509,24.479
510,24.520
511,24.561
512,24.603
513,24.644
514,24.686
515,24.727
516,24.769
517,24.810
518,24.852
519,24.893
520,24.935
521,24.976
522,25.018
523,25.059
524,25.101
525,25.143
526,25.185
527,25.227
528,25.268
529,25.310
530,25.353
531,25.395
532,25.437
533,25.479
534,25.521
535,25.563
536,25.605
537,25.647
538,25.689
539,25.730
540,25.772
541,25.814
542,25.855
543,25.897
544,25.939
545,25.980
546,26.022
547,26.063
548,26.105
549,26.147
550,26.187
551,26.228
552,26.269
553,26.310
554,26.349
555,26.388
556,26.427
557,26.465
558,26.503
559,26.541
560,26.579
561,26.617
562,26.653
563,26.690
564,26.726
565,26.761
566,26.796
567,26.830
568,26.864
569,26.898
570,26.930
571,26.963
572,26.994
573,27.025
574,27.055
575,27.086
576,27.116
577,27.146
578,27.176
579,27.207
580,27.236
581,27.266
582,27.295
583,27.324
584,27.353
585,27.381
586,27.410
587,27.439
588,27.467
589,27.496
590,27.524
591,27.552
592,27.582
593,27.610
594,27.639
595,27.668
596,27.696
597,27.725
598,27.753
599,27.781
600,27.809
601,27.836
602,27.863
603,27.891
604,27.918
605,27.945
606,27.970
607,27.996
608,28.022
609,28.046
610,28.071
611,28.094
612,28.118
613,28.141
614,28.164
615,28.187
616,28.210
617,28.232
618,28.254
619,28.274
620,28.295
621,28.315
622,28.336
623,28.355
624,28.375
625,28.394
626,28.414
627,28.433
628,28.452
629,28.471
630,28.491
631,28.511
632,28.531
633,28.551
634,28.572
635,28.592
636,28.612
637,28.633
638,28.653
639,28.672
640,28.692
641,28.711
642,28.731
643,28.751
644,28.770
645,28.790
646,28.808
647,28.826
648,28.845
649,28.863
650,28.881
651,28.899
652,28.915
653,28.932
654,28.948
655,28.964
656,28.979
657,28.995
658,29.010
659,29.025
660,29.039
661,29.052
662,29.067
663,29.080
664,29.093
665,29.106
666,29.119
667,29.131
668,29.143
669,29.155
670,29.167
671,29.179
672,29.191
673,29.202
674,29.214
675,29.225
676,29.237
677,29.248
678,29.260
679,29.271
680,29.283
681,29.293
682,29.304
683,29.314
684,29.325
685,29.336
686,29.348
687,29.359
688,29.369
689,29.379
690,29.389
691,29.398
692,29.408
693,29.417
694,29.426
695,29.435
696,29.444
697,29.452
698,29.459
699,29.467
700,29.474
701,29.480
702,29.485
703,29.491
704,29.496
705,29.500
706,29.505
707,29.509
708,29.512
709,29.516
710,29.520
711,29.524
712,29.527
713,29.530
714,29.532
715,29.533
716,29.534
717,29.536
718,29.537
719,29.539
720,29.541
721,29.542
722,29.543
723,29.543
724,29.543
725,29.544
726,29.544
727,29.544
728,29.544
729,29.544
730,29.544
731,29.544
732,29.544
733,29.544
734,29.543
735,29.542
736,29.540
737,29.539
738,29.537
739,29.534
740,29.532
741,29.530
742,29.527
743,29.525
744,29.522
745,29.519
746,29.515
747,29.512
748,29.509
749,29.505
750,29.500
751,29.495
752,29.489
753,29.484
754,29.478
755,29.471
756,29.464
757,29.456
758,29.449
759,29.442
760,29.434
761,29.428
762,29.421
763,29.413
764,29.404
765,29.397
766,29.389
767,29.381
768,29.373
769,29.364
770,29.354
771,29.345
772,29.335
773,29.327
774,29.319
775,29.309
776,29.300
777,29.291
778,29.281
779,29.269
780,29.259
781,29.248
782,29.237
783,29.226
784,29.215
785,29.204
786,29.194
787,29.183
788,29.173
789,29.162
790,29.150
791,29.139
792,29.127
793,29.115
794,29.103
795,29.091
796,29.080
797,29.069
798,29.057
799,29.046
800,29.035
801,29.023
802,29.010
803,28.998
804,28.986
805,28.973
806,28.961
807,28.947
808,28.934
809,28.919
810,28.905
811,28.891
812,28.877
813,28.862
814,28.847
815,28.831
816,28.815
817,28.800
818,28.784
819,28.768
820,28.752
821,28.736
822,28.720
823,28.704
824,28.688
825,28.671
826,28.655
827,28.639
828,28.622
829,28.606
830,28.589
831,28.572
832,28.554
833,28.537
834,28.520
835,28.504
836,28.487
837,28.470
838,28.454
839,28.438
840,28.421
841,28.405
842,28.389
843,28.372
844,28.356
845,28.339
846,28.322
847,28.304
848,28.286
849,28.268
850,28.251
851,28.233
852,28.215
853,28.196
